;cluster;element
115;115;[['228.820908', '293.880288', '234.579240', '303.000932', '+'], ['235.180906', '294.000288', '240.663153', '303.120932', '0']] [['170.620932', '293.267060', '181.720765', '310.655934', 'n'], ['181.780927', '297.971416', '197.164752', '310.788026', '35'], ['200.740920', '297.971416', '219.964733', '310.788026', 'M7'], ['223.540911', '293.834252', '230.129313', '312.135370', '('], ['230.140908', '303.360284', '233.424340', '312.480928', '-'], ['235.180906', '303.720284', '259.983174', '312.840928', '0,025'], ['259.900896', '293.834252', '266.489298', '312.135370', ')'], ['270.340892', '293.267060', '296.560358', '310.655934', 'É']]
116;116;[['550.312670', '449.672138', '563.128823', '464.279781', '2x'], ['550.312670', '418.896286', '563.128823', '445.799822', '13,8']]
117;117;[['128.260949', '332.411403', '145.148843', '345.228013', 'Rz'], ['149.020939', '332.411403', '168.244766', '345.228013', '6,3']]
118;118;[['552.952669', '590.072092', '565.768822', '604.679734', '2x'], ['552.952669', '551.616227', '565.768822', '586.319765', '15,25']]
119;119;[['79.901168', '311.771411', '89.142983', '324.588021', 'B']]
120;120;[['1433.271895', '131.897561', '1452.567304', '150.839940', '50°']]
121;121;[['502.672689', '552.272177', '515.488842', '566.879820', '2x'], ['502.672689', '532.896242', '515.488842', '548.399781', '10'], ['521.512327', '580.831891', '534.328937', '595.319762', '2x'], ['521.512327', '542.256009', '534.328937', '576.959769', '25,25']]
122;122;[['127.060949', '288.851420', '143.948843', '301.668030', 'Rz'], ['147.820940', '288.851420', '167.044766', '301.668030', '6,3']]
123;123;[['1574.739370', '71.054519', '1587.408100', '88.307250', '90'], ['1587.339375', '79.934521', '1591.878028', '92.747251', '°']] [['1559.619391', '60.494536', '1571.652708', '77.627266', '4x']]
124;124;[['1657.900637', '94.211498', '1667.142452', '107.028108', 'A']]
125;125;[['1447.781876', '255.401002', '1460.619875', '267.599893', '0,1']]
126;126;[['745.313263', '223.799864', '760.046536', '233.709778', ',6']]
127;127;[['1304.019478', '195.707099', '1319.657795', '213.095973', 'f'], ['1328.259469', '198.011456', '1355.283313', '210.828066', '0,03'], ['1360.899456', '198.011456', '1370.903339', '210.828066', 'D'], ['1301.019480', '212.987092', '1322.557824', '230.375966', 'c'], ['1328.259469', '217.811448', '1355.283313', '230.628058', '0,05']]
128;128;[['372.700851', '266.027071', '383.800684', '283.415945', 'n'], ['383.860846', '270.731427', '406.924675', '283.548037', '125']] [['372.580851', '242.499895', '407.182201', '261.695580', 'B-B']]
129;129;[['1411.299435', '92.531499', '1421.303319', '105.348108', 'D']] [['1388.510980', '91.776138', '1401.327590', '109.439956', 'Ra'], ['1388.510980', '68.616142', '1401.327590', '87.839962', '0,8']]
130;130;[['1332.339467', '144.947119', '1353.877812', '162.335993', 'c'], ['1359.579456', '149.771476', '1386.483301', '162.588086', '0,05']]
131;131;[['1176.099530', '169.539924', '1188.778766', '188.735609', 'Z'], ['1194.699590', '169.539924', '1201.609878', '188.735609', '('], ['1207.299608', '169.539924', '1230.477473', '188.735609', '10'], ['1236.219586', '169.539924', '1241.988535', '188.735609', ':'], ['1247.739671', '169.539924', '1259.277569', '188.735609', '1'], ['1265.019682', '169.539924', '1271.929969', '188.735609', ')']]
132;132;[['1457.379417', '40.299976', '1472.362083', '59.495661', 'R'], ['1478.139469', '40.299976', '1485.049757', '59.495661', '('], ['1490.859487', '40.299976', '1502.397384', '59.495661', '1'], ['1508.139497', '40.299976', '1513.908446', '59.495661', ':'], ['1519.659582', '40.299976', '1531.197480', '59.495661', '1'], ['1537.059593', '40.299976', '1543.969880', '59.495661', ')'], ['1472.499411', '70.059964', '1487.482077', '89.255649', 'C'], ['1513.539451', '69.339964', '1528.522116', '88.535649', 'C']]
133;133;[['1431.833544', '277.063616', '1449.926827', '294.239882', '2,5'], ['1440.451653', '267.658168', '1452.850286', '275.279890', '`']]
134;134;[['840.340664', '152.991573', '847.160648', '165.390912', '`']] [['847.060661', '147.841674', '855.866416', '160.320606', '45'], ['855.820656', '144.481675', '858.961488', '153.600607', '°']] [['823.060671', '163.693415', '835.435762', '181.187519', '45'], ['835.420660', '159.013418', '839.834400', '171.827528', '°']]
135;135;[['730.673304', '198.479921', '748.526554', '213.789799', 'Ra'], ['741.473270', '217.079874', '754.286545', '223.749789', '1']]
